,cat,concept,typicality
490,7,132,7.494942710239398
491,7,204,8.070284323293317
492,7,237,8.258484992738177
493,7,238,5.305401777809737
494,7,270,6.235027626337553
495,7,312,3.496638217306523
496,7,314,7.70826107464817
497,7,338,7.765042571129676
498,7,400,7.898923441987732
499,7,439,5.944036056409199
500,7,440,5.45705918098576
501,7,461,7.8688770680157605
502,7,481,8.112809122906636
503,7,505,6.737710222212187
504,7,544,5.937819329314404
505,7,609,5.381492876990977
506,7,646,4.931906677017473
507,7,647,6.577609989777018
508,7,817,8.527483023766083
509,7,820,7.536587986520928
510,7,1002,6.129363237221807
511,7,1030,6.226492677522395
512,7,1035,5.4267495351755155
513,7,1119,5.9980366833350685
514,7,1124,7.038496396805084
515,7,1168,8.143634446840618
516,7,1225,6.038032198052073
517,7,1246,7.343934648550963
518,7,1429,5.802254077262439
519,7,1497,5.832929528318045
520,7,1498,5.216100756736704
521,7,1582,7.80769613813594
522,7,1663,5.622592902076236
523,7,1800,5.579672956821378
524,7,1810,5.727121095698892
525,8,113,7.56617117384063
526,8,304,6.19099213535093
527,8,374,6.578120340543005
528,8,377,8.025647472211526
529,8,521,7.904987205059713
530,8,549,4.951995273125127
531,8,560,6.387992818009113
532,8,801,6.662659882707001
533,8,854,7.8288264950971875
534,8,901,6.350004838571803
535,8,915,7.519762692868923
536,8,973,6.4502175145927225
537,8,1001,7.6237087620915105
538,8,1002,5.835713938594795
539,8,1254,6.405248502299124
540,8,1474,6.059827332382264
541,8,1490,8.076738736636425
542,8,1631,7.805834524038714
543,8,1823,7.325672919119687
544,9,4,5.966681949087717
545,9,20,6.159948285035129
546,9,138,5.804861199509896
547,9,145,4.294521399813682
548,9,244,6.657838704213661
549,9,248,7.0459406642368165
550,9,279,5.452323425813213
551,9,290,6.963534945967692
552,9,293,8.147264829010174
553,9,296,3.3428352580679457
554,9,299,3.2770384024476646
555,9,382,5.755956967954225
556,9,394,8.13122491513175
557,9,395,7.123030240103713
558,9,399,4.811342946650514
559,9,405,6.408831976182341
560,9,463,5.179402123173957
561,9,477,4.255357442637889
562,9,491,5.284903769712635
563,9,520,4.353011652978955
564,9,524,5.535688251936105
565,9,553,3.5068933466512053
566,9,571,6.05413517261485
567,9,627,4.8256216099914795
568,9,640,4.756304237812573
569,9,671,5.297030766820304
570,9,735,6.095437153941566
571,9,806,4.983156676169127
572,9,821,4.548017651020092
573,9,827,3.8611961385468305
574,9,832,4.712505014828401
575,9,837,3.1429178711450048
576,9,852,5.363175545660519
577,9,856,5.204443246485146
578,9,857,4.377892583775533
579,9,891,5.155011295039416
580,9,897,8.36338428144176
581,9,996,4.819664953745125
