,Unnamed: 0,0,1,2,cr,bigcat,cat_name,human_typ,radius,within_cat_distance_raw,within_cat_distance,between_cat_distance,between_cat_distance_eu,between_cat_distance_resid
534,534,-18.845543177062517,13.0299759479632,-1.1048339987838929,0.8010114208284941,23,tool,6.350004838571803,22.938078145474524,0.7179910581832729,0.7179910581832729,41.85460122403672,6.944168912795139,-0.5609577076352323
535,535,-24.442688968919065,13.64679962123985,-2.78247844573664,0.7985797480917023,6,container,7.519762692868923,28.13223009707156,3.0726191016066053,3.0726191016066053,46.707693953465395,8.057915714095586,-0.15461264345273662
536,536,-16.990745260607575,9.00816903802618,4.280718159061746,0.8611556271807708,27,weapon,6.4502175145927225,19.701702512367635,-3.4553614460890287,-3.4553614460890287,39.58214835363488,9.714480302097286,-0.06272810195881107
537,537,-13.571055114056634,9.807618951456911,-8.640603031727691,0.7808778269304587,1,animal,7.6237087620915105,18.842052625912103,-0.9718655299956325,-0.9718655299956325,39.74044127024147,11.61215045285031,0.8315167392636837
538,538,-12.702272308939715,17.66031989348217,-2.0982877600652667,0.8889417528698659,3,body part,5.835713938594795,21.85491780068318,-1.1648883836257937,-1.1648883836257937,42.28650033920245,11.53884954749419,0.7982421063110152
539,539,-19.35428414061332,21.200772252914994,-0.7245510419328176,0.8301815570754697,99,other,6.405248502299124,28.71560608672456,4.279563566446164,4.279563566446164,47.79967859800274,12.299081319855505,0.4379399775080657
540,540,-20.86057614000058,16.21865322628583,3.231401280927939,0.779563935342578,5,clothing accessory,6.059827332382264,26.620486539611857,0.5835402888314576,0.5835402888314576,46.17233331313219,9.572088363266737,0.6042403235995693
541,541,-17.391247335269004,10.973341158714732,-10.925982973100506,0.7858384368821708,1,animal,8.076738736636425,23.286193419932896,3.2153569519965117,3.2153569519965117,44.17911192379793,11.536715312024496,1.465529214932019
542,542,-30.224099806229056,18.436149450418647,-6.517449999926,0.7605559525687168,99,other,7.805834524038714,35.99812453665611,10.048117842394532,10.048117842394532,54.23646041937181,15.538938708444393,0.6401098321655354
543,543,-24.474966586061765,7.539716143196526,-2.1818646314776844,0.8174086712430445,10,food,7.325672919119687,25.702759427324363,6.038039035016858,6.038039035016858,45.775262645282496,8.86056347067949,0.992841875570619
544,544,-15.654342451806023,3.245303603359676,-1.6789072178153597,0.8041024851339422,7,dessert,5.966681949087717,16.07511003142523,-3.6880098256389715,-3.6880098256389715,35.8914278677313,10.79794012236879,-0.6486989005777062
545,545,-21.62754549745372,15.024458282125485,-9.935350174271203,0.8346746311082671,1,animal,6.159948285035129,28.145981134100666,9.284018380559402,9.284018380559402,48.507046773092114,10.836775065966137,1.632967822886343
546,546,-19.59630192578613,4.190998699887541,-3.112790184137853,0.838140771121486,10,food,5.804861199509896,20.279767799447143,0.017537142828999208,0.017537142828999208,40.84008165027453,10.087638259240462,0.7003196985238986
